Признак;Описание
ID;Уникальный номер наблюдения
Subject;Предмет: 'Math' - математика, 'Por' - португальский язык
school;Школа: 'GP' - Gabriel Pereira, 'MS' - Mousinho da Silveira
sex;Пол студента: 'F' - женский, 'M' - мужской
age;Возраст студента
address;Место проживания студента: 'U' - в городе, 'R' - за городом
famsize;Число членов семьи: 'LE3' - если <= 3, 'GT3' - если > 3
Pstatus;Отношения родителей: 'T' - живут вместе, 'A' - живут раздельно
Medu;Образование матери: 0 - без образования, 1 - начальная школа, 2 – от 5 до 9 классов, 3 – среднее образование, 4 – высшее образование
Fedu;Образование отца: 0 - без образования, 1 - начальная школа, 2 – от 5 до 9 классов, 3 – среднее образование, 4 – высшее образование
Mjob;Работа матери: 'teacher' - связана с преподаванием, 'health'  - связана с здравоохранением, 'services' - администрация и полиция, 'at_home' - домашняя занятость, 'other' - другое
Fjob;Работа отца: 'teacher' - связана с преподаванием, 'health'  - связана с здравоохранением, 'services' - администрация и полиция, 'at_home' - домашняя занятость, 'other' - другое
reason;Причина, по которой студент выбрал данную школу: 'home' - рядом с домом, 'reputation' - репутация школы, 'course' - читаемые курсы, 'other' - другое
guardian;Опекун студента (student's guardian): 'mother', 'father' или 'other'
traveltime;Время в пути от дома до школы: 1 - < 15 мин, 2 - от 15 до 30 мин, 3 - от 30 мин до 1 часа, 4 - > 1 часа
studytime;Количество часов на учебу в неделю: 1 - < 2 часов, 2 - от 2 до 5 часов, 3 - от 5 до 10 часов, 4 - > 10 часов
failures;Число завалов студента по предыдущим курсам:  n если 0<=n<3, иначе 3
schoolsup;Дополнительная помощь в учебе: yes или no
famsup;Дополнительная помощь в учебе от членов семьи: yes или no
paid;Платные дополнительные занятия по соответствущему курсу ('Math' или 'Por'): yes или no
activities;Внеучебные активности: yes или no
nursery;Ходил в детстве в детский сад: yes или no
higher;Собирается получать высшее образование: yes или no
internet;Есть доступ к всемирной сети из дома: yes или no
romantic;Состоит в романтических отношениях: yes или no
famrel;Отношения в семье: от 1 - очень плохие, до 5 - прекрасные
freetime;Свободное время после занятий: от 1 - очень мало, до 5 - очень много
goout;Проводит время с друзьями: от 1 - очень редко/мало, до 5 - очень часто/много
Dalc;Потребление алкоголя в будни: от 1 - очень мало, до 5 - очень много
Walc;Потребление алкоголя в выходные: от 1 - очень мало, до 5 - очень много
health;Состояние здоровья: от 1 - очень плохое, до 5  - очень хорошее
absences;Число пропусков: сколько раз пропустил занятия в школе
cheating;Списывает ли на тестах: yes или no
G1;Оценка за первое полугодние: от 0 до 20
G2;Оценка за второе полугодие: от 0 до 20
G3;Итоговая оценка: от 0 до 20
